url; LOC; accessed
https://github.com/ageitgey/face_recognition/blob/master/tests/test_face_recognition.py; 344; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/cli/test_cli.py; 381; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/cli/test_console.py; 51; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/cli/test_playbook.py; 46; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/config/test_data.py; 41; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/errors/test_errors.py; 151; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/executor/test_play_iterator.py; 463; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/executor/test_playbook_executor.py; 148; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/executor/test_task_executor.py; 473; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/executor/test_task_queue_manager_callbacks.py; 121; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/executor/test_task_result.py; 171; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/inventory/test_group.py; 155; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/inventory/test_host.py; 112; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/basic/test_heuristic_log_sanitize.py; 89; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/basic/test_imports.py; 128; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/basic/test_no_log.py; 160; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/common/test_dict_transformations.py; 135; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/facts/base.py; 65; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/facts/hardware/test_linux.py; 175; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/facts/network/test_generic_bsd.py; 175; 18/03/2021
https://github.com/ansible/ansible/blob/master/test/units/module_utils/facts/test_ansible_collector.py; 524; 18/03/2021
